Dataset,Scale,HC_mean,HC_sem,HC_n,PD_mean,PD_sem,PD_n,MW_p,q_BH
Japan-morning,18,1.0182574175414105,0.07032892230345154,18,0.8069169322028678,0.06405226299596316,21,0.025113083845991264,0.02790342649554585
Japan-morning,19,1.0264427039717379,0.07083966640330128,18,0.8143717487055316,0.06393769563291324,21,0.025113083845991264,0.02790342649554585
Japan-morning,20,1.0342463620590838,0.07087758903570873,18,0.8237500304964558,0.06510851612532152,21,0.027002133439825965,0.02842329835771154
Japan-afternoon,1,0.616512014221597,0.05327235813762342,18,0.3597062743711681,0.03780695052519099,20,0.0008156219850349544,0.0008156219850349543
Japan-afternoon,2,0.686809185507021,0.053063590515906346,18,0.3993195650794315,0.03757558791426948,20,0.0003821914080474917,0.0005016091442196692
Japan-afternoon,3,0.7486739359782186,0.05414209662123191,18,0.44529264170650507,0.03421644349481949,20,0.00021708134604951022,0.0005016091442196692
Japan-afternoon,4,0.8318160710599716,0.05772503621366957,18,0.49091834224287306,0.03670638160540348,20,0.0001072072761865644,0.0005016091442196692
Japan-afternoon,5,0.8960036490645504,0.06032161591169191,18,0.5358190749693934,0.03928715854322811,20,0.00013607136577427706,0.0005016091442196692
Japan-afternoon,6,0.9350986050259326,0.06068405760765532,18,0.5733129728059287,0.04105614518797405,20,0.00013607136577427706,0.0005016091442196692
Japan-afternoon,7,0.9634341570348582,0.0603715337572168,18,0.6007455009224942,0.043110746805340654,20,0.00012082919965718349,0.0005016091442196692
Japan-afternoon,8,0.9854903463584878,0.060543451530101246,18,0.6241381186542507,0.04525997153350998,20,0.00013607136577427706,0.0005016091442196692
Japan-afternoon,9,1.0027789244453573,0.06107687267370725,18,0.6438695910009467,0.04708545441255681,20,0.00021708134604951022,0.0005016091442196692
Japan-afternoon,10,1.0173025722444011,0.061045284799607816,18,0.6597447146350224,0.04849516312476128,20,0.00024347627401132842,0.0005016091442196692
Japan-afternoon,11,1.0281076460240957,0.060947300170287544,18,0.6743926015290258,0.04963331340378895,20,0.00024347627401132842,0.0005016091442196692
Japan-afternoon,12,1.039316352643149,0.06094869552071969,18,0.686002736274672,0.050713479690277966,20,0.0003055418952407917,0.0005016091442196692
Japan-afternoon,13,1.0480869335038365,0.06097893608871819,18,0.697200138706991,0.05184653867706849,20,0.0003418623075563878,0.0005016091442196692
Japan-afternoon,14,1.0558559159094187,0.06099516832924427,18,0.7074925499869793,0.05310405397917808,20,0.0003418623075563878,0.0005016091442196692
Japan-afternoon,15,1.0641043943367092,0.061228074233877286,18,0.716834947064943,0.054001393911060847,20,0.0004269333814737149,0.0005016091442196692
Japan-afternoon,16,1.0717364653698869,0.061010373132906935,18,0.7258718309371195,0.0549296442431665,20,0.0004269333814737149,0.0005016091442196692
Japan-afternoon,17,1.0789819724568792,0.061430188615216465,18,0.7340021532285415,0.055713589764232165,20,0.0004269333814737149,0.0005016091442196692
Japan-afternoon,18,1.0833763219828603,0.06104569323673346,18,0.7412789004476878,0.05638399007630951,20,0.00047652868700868577,0.0005016091442196692
Japan-afternoon,19,1.0905318385633427,0.06113042255954826,18,0.7476498618248136,0.05684972704283104,20,0.0004269333814737149,0.0005016091442196692
Japan-afternoon,20,1.0964575132952605,0.06106320550750157,18,0.7544393968419493,0.05758074106285491,20,0.00047652868700868577,0.0005016091442196692
